IdCN;NazwaCN;OpisCN;UwagaCN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
0714 40 00;Kolokazja jadalna (taro) (Colocasia spp.), świeża, schłodzona, zamrożona lub suszona, nawet w plastrach, lub w postaci granulek;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0714 50 00;Ksantosoma (żółtosocza lub malanga) (Xanthosoma spp.), świeża, schłodzona, zamrożona lub suszona, nawet w plastrach, lub w postaci granulek;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0714 90 20;Maranta, salep i podobne korzenie i bulwy o dużej zawartości skrobi, świeże, schłodzone, zamrożone lub suszone, nawet w plastrach, lub w postaci granulek (z wył. Manioku "cassava", słodkich ziemniaków, pochrzyna, kolokazja jadalnej i ksantosomy);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0714 90 90;Korzenie i bulwy topinamburu i podobnych korzeni i bulw o dużej zawartości skrobi lub inuliny, świeże, schłodzone, zamrożone lub suszone, nawet w plastrach, lub w postaci granulek i rdzeń sagowca (z wył. korzeni i bulw manioku, maranty, salepu, słodkich ziemniaków i pochrzyna, kolokazja jadalnej i ksantosomy);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0801 11 00;Orzechy kokosowe, suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0801 12 00;Orzechy kokosowe, w łupinie wewnętrznej (owocnia);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0801 19 00;Orzechy kokosowe, świeże, nawet łuskane lub obrane (z wył. w łupinie wewnętrznej (owocnii));;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0801 21 00;Orzechy brazylijskie, świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0801 31 00;Orzechy nerkowca, świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 11 10;Migdały gorzkie, świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 11 90;Migdały, świeże lub suszone, w łupinach (z wył. gorzkich);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
