IdUprawa_RodzajUprawa;IdUprawa;IdRodzajUprawa;NazwaUprawa_RodzajUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.28.13.0_703;01.28.13.0;703;Gałka muszkatołowa, kwiat muszkatołowy i kardamon, surowe bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.14.0_702;01.28.14.0;702;Anyż, badian, kolendra, kmin, kminek, koper i jagody jałowca, surowe pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.15.0_702;01.28.15.0;702;Cynamon surowy i kwiaty cynamonowca pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.16.0_701;01.28.16.0;701;Goździki (całe owoce, kwiaty i szypułki) surowe na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.17.0_702;01.28.17.0;702;Imbir surowy, suszony pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.18.0_702;01.28.18.0;702;Wanilia surowa pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.19.0_703;01.28.19.0;703;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.20.0_701;01.28.20.0;701;Szyszki chmielowe na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.30.0_702;01.28.30.0;702;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.29.10.0_701;01.29.10.0;701;Kauczuk naturalny na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.29.20.0_702;01.29.20.0;702;Choinki świąteczne cięte pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.29.30.0_702;01.29.30.0;702;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.30.10.0_702;01.30.10.0;702;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia" pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
