IdProdukt_RodzajProdukt;IdCN;NazwaProdukt_RodzajProdukt_CN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.33.0_111;1004 90 00;Owies na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.41.0_111;1007 10 10;Sorgo na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.41.0_111;1007 10 90;Sorgo na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.41.0_111;1007 90 00;Sorgo na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.42.0_111;1008 21 00;Proso na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.42.0_111;1008 29 00;Proso na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.43.0_111;1008 60 00;Pszenżyto na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.49.0_111;1008 10 00;Pozostałe zboża na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.49.0_111;1008 30 00;Pozostałe zboża na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.49.0_111;1008 40 00;Pozostałe zboża na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.49.0_111;1008 50 00;Pozostałe zboża na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.49.0_111;1008 90 00;Pozostałe zboża na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.50.0_;1213 00 00*;Słoma i plewy zbóż ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.61.0_;0708 20 00*;Fasola ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.62.0_;0708 10 00*;Groch ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.69.0_;0708 90 00*;Pozostałe warzywa strączkowe, świeże lub schłodzone ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.71.0_;0713 31 00;Fasola, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.71.0_;0713 32 00;Fasola, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.71.0_;0713 33 10;Fasola, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.71.0_;0713 33 90;Fasola, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
